Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Anfernee Simons,22.0,57,30,1681,353,797,0.443,179,442,0.405,174,355,0.49,0.555,103,116,0.888,26,125,151,221,30,6,115,110,988,0,
2.0,Jusuf Nurkić,27.0,56,56,1579,321,600,0.535,15,56,0.268,306,544,0.563,0.548,185,268,0.69,167,452,619,157,62,34,143,189,842,0,
3.0,Robert Covington,31.0,48,40,1431,128,336,0.381,79,230,0.343,49,106,0.462,0.499,30,36,0.833,41,233,274,68,74,63,58,132,365,0,
4.0,Norman Powell,28.0,40,39,1333,247,542,0.456,93,229,0.406,154,313,0.492,0.542,159,198,0.803,17,114,131,82,40,17,62,92,746,0,
5.0,Ben McLemore,28.0,64,6,1285,216,539,0.401,151,417,0.362,65,122,0.533,0.541,72,88,0.818,12,91,103,59,38,10,55,103,655,0,
6.0,CJ McCollum,30.0,36,36,1267,290,665,0.436,111,289,0.384,179,376,0.476,0.52,48,68,0.706,34,119,153,163,36,21,70,77,739,0,
7.0,CJ Elleby,21.0,58,28,1174,121,308,0.393,37,126,0.294,84,182,0.462,0.453,60,84,0.714,66,161,227,87,35,19,56,116,339,0,
8.0,Nassir Little,21.0,42,23,1088,145,315,0.46,51,154,0.331,94,161,0.584,0.541,69,94,0.734,58,178,236,54,25,36,40,82,410,0,
9.0,Damian Lillard,31.0,29,29,1056,222,552,0.402,92,284,0.324,130,268,0.485,0.486,159,181,0.878,13,107,120,212,17,11,83,37,695,0,
10.0,Trendon Watford,21.0,48,10,869,142,267,0.532,9,38,0.237,133,229,0.581,0.549,71,94,0.755,57,142,199,81,25,28,44,116,364,0,
11.0,Larry Nance Jr.,29.0,37,11,858,102,198,0.515,19,62,0.306,83,136,0.61,0.563,32,49,0.653,58,151,209,73,38,13,27,67,255,0,
12.0,Drew Eubanks,24.0,22,22,650,137,212,0.646,4,15,0.267,133,197,0.675,0.656,40,51,0.784,66,120,186,35,18,10,35,61,318,0,
13.0,Greg Brown III,20.0,48,6,640,81,190,0.426,19,61,0.311,62,129,0.481,0.476,44,65,0.677,38,97,135,35,26,24,36,90,225,0,
14.0,Brandon Williams,22.0,24,16,640,105,282,0.372,31,106,0.292,74,176,0.42,0.427,68,97,0.701,19,55,74,94,24,10,58,52,309,0,
15.0,Dennis Smith Jr.,24.0,37,4,638,79,189,0.418,6,27,0.222,73,162,0.451,0.434,42,64,0.656,20,68,88,132,45,12,51,52,206,0,
16.0,Keon Johnson,19.0,22,12,562,79,221,0.357,31,89,0.348,48,132,0.364,0.428,25,30,0.833,18,42,60,63,21,10,39,48,214,0,
17.0,Tony Snell,30.0,38,10,546,36,97,0.371,24,75,0.32,12,22,0.545,0.495,3,3,1.0,11,61,72,20,8,7,11,44,99,0,
18.0,Josh Hart,26.0,13,13,417,92,183,0.503,31,83,0.373,61,100,0.61,0.587,44,57,0.772,9,61,70,56,16,2,33,32,259,0,
19.0,Cody Zeller,29.0,27,0,355,51,90,0.567,0,4,0.0,51,86,0.593,0.567,38,49,0.776,50,75,125,22,8,6,19,56,140,0,
20.0,Keljin Blevins,26.0,31,1,349,34,111,0.306,21,72,0.292,13,39,0.333,0.401,6,11,0.545,16,29,45,19,13,1,17,29,95,0,
21.0,Kris Dunn,27.0,14,3,336,44,102,0.431,1,11,0.091,43,91,0.473,0.436,17,18,0.944,9,40,49,79,23,3,32,38,106,0,
22.0,Elijah Hughes,23.0,22,3,322,32,108,0.296,15,67,0.224,17,41,0.415,0.366,4,6,0.667,4,37,41,16,10,7,10,32,83,0,
23.0,Justise Winslow,25.0,11,10,295,47,116,0.405,10,37,0.27,37,79,0.468,0.448,14,25,0.56,20,49,69,32,14,7,12,21,118,0,
24.0,Reggie Perry,21.0,9,1,177,39,78,0.5,3,16,0.188,36,62,0.581,0.519,9,15,0.6,15,31,46,12,9,6,11,30,90,0,
25.0,Didi Louzada,22.0,7,1,122,12,30,0.4,9,20,0.45,3,10,0.3,0.55,2,2,1.0,3,12,15,4,2,2,5,13,35,0,
26.0,Cameron McGriff,24.0,3,0,46,5,14,0.357,2,6,0.333,3,8,0.375,0.429,2,2,1.0,6,9,15,3,0,1,0,7,14,0,
27.0,Jarron Cumberland,24.0,3,0,12,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,1,2,3,1,0,0,0,2,2,0,
,Team Totals,,82,82,19728,3161,7144,0.442,1043,3017,0.346,2118,4127,0.513,0.515,1346,1771,0.76,854,2661,3515,1880,657,366,1122,1728,8711,0,
