Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Domantas Sabonis,27.0,82,82,2928,634,1068,0.594,33,87,0.379,601,981,0.613,0.609,292,415,0.704,294,826,1120,673,74,48,272,250,1593,26,"MVP-8,DPOY-10,NBA3"
2.0,De'Aaron Fox,26.0,74,74,2659,720,1549,0.465,214,580,0.369,506,969,0.522,0.534,312,423,0.738,67,273,340,418,150,31,194,193,1966,0,CPOY-12
3.0,Keegan Murray,23.0,77,77,2588,443,975,0.454,183,511,0.358,260,464,0.56,0.548,103,124,0.831,106,314,420,129,79,59,64,205,1172,0,
4.0,Harrison Barnes,31.0,82,82,2381,347,732,0.474,149,385,0.387,198,347,0.571,0.576,157,196,0.801,67,182,249,99,54,12,58,98,1000,0,
5.0,Malik Monk,25.0,72,0,1872,396,893,0.443,148,423,0.35,248,470,0.528,0.526,170,205,0.829,28,184,212,370,45,39,150,156,1110,0,"CPOY-12,6MOY-2"
6.0,Kevin Huerter,25.0,64,59,1562,248,560,0.443,123,341,0.361,125,219,0.571,0.553,36,47,0.766,38,186,224,166,45,23,53,135,655,0,
7.0,Trey Lyles,28.0,58,0,1158,143,321,0.445,84,219,0.384,59,102,0.578,0.576,49,70,0.7,61,196,257,72,17,19,38,86,419,0,
8.0,Davion Mitchell,25.0,72,4,1101,146,323,0.452,57,158,0.361,89,165,0.539,0.54,30,42,0.714,19,76,95,134,17,3,43,85,379,0,
9.0,Keon Ellis,24.0,57,21,978,107,232,0.461,70,168,0.417,37,64,0.578,0.612,26,35,0.743,32,92,124,85,51,29,37,112,310,0,
10.0,Chris Duarte,26.0,59,11,719,80,210,0.381,44,127,0.346,36,83,0.434,0.486,26,33,0.788,26,80,106,44,28,8,26,80,230,0,
11.0,Sasha Vezenkov,28.0,42,0,511,84,191,0.44,45,120,0.375,39,71,0.549,0.558,12,15,0.8,30,66,96,19,20,7,12,42,225,0,
12.0,Alex Len,30.0,48,0,444,50,81,0.617,0,3,0.0,50,78,0.641,0.617,20,34,0.588,46,82,128,50,11,33,27,66,120,0,
13.0,JaVale McGee,36.0,46,0,339,79,132,0.598,1,7,0.143,78,125,0.624,0.602,26,45,0.578,42,84,126,17,14,20,34,46,185,0,
14.0,Kessler Edwards,23.0,54,0,275,34,82,0.415,20,52,0.385,14,30,0.467,0.537,5,9,0.556,9,33,42,15,10,4,4,26,93,0,
15.0,Colby Jones,21.0,30,0,192,28,71,0.394,2,22,0.091,26,49,0.531,0.408,6,11,0.545,17,23,40,20,7,5,10,29,64,0,
16.0,Juan Toscano-Anderson,30.0,11,0,53,3,12,0.25,1,4,0.25,2,8,0.25,0.292,0,0,,4,10,14,4,1,1,2,11,7,0,
17.0,Jalen Slawson,24.0,12,0,37,4,6,0.667,0,2,0.0,4,4,1.0,0.667,0,0,,1,6,7,2,1,1,2,8,8,0,
18.0,Mason Jones,25.0,5,0,28,2,8,0.25,2,7,0.286,0,1,0.0,0.375,1,2,0.5,1,4,5,5,1,0,2,3,7,0,
19.0,Jordan Ford,25.0,6,0,22,4,7,0.571,2,3,0.667,2,4,0.5,0.714,2,2,1.0,0,2,2,2,0,0,1,0,12,0,
20.0,Filip Petrušev,23.0,2,0,7,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,0,0,0,0,0,0,0,1,3,0,
,Team Totals,,82,82,19854,3553,7455,0.477,1178,3219,0.366,2375,4236,0.561,0.556,1274,1710,0.745,888,2719,3607,2324,625,342,1029,1632,9558,26,
