Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,DeMar DeRozan,32.0,76,76,2743,774,1535,0.504,50,142,0.352,724,1393,0.52,0.521,520,593,0.877,56,336,392,374,68,24,181,178,2118,0,"MVP-10,AS,NBA2"
2.0,Nikola Vučević,31.0,73,73,2418,546,1154,0.473,104,331,0.314,442,823,0.537,0.518,92,121,0.76,142,662,804,236,70,71,136,181,1288,0,
3.0,Zach LaVine,26.0,67,67,2328,565,1186,0.476,185,475,0.389,380,711,0.534,0.554,320,375,0.853,22,286,308,303,41,23,171,120,1635,0,AS
4.0,Ayo Dosunmu,22.0,77,40,2110,278,535,0.52,70,186,0.376,208,349,0.596,0.585,53,78,0.679,27,187,214,256,60,29,108,182,679,0,
5.0,Coby White,21.0,61,17,1675,279,644,0.433,136,353,0.385,143,291,0.491,0.539,78,91,0.857,17,165,182,176,29,11,70,137,772,0,
6.0,Javonte Green,28.0,65,45,1519,176,325,0.542,36,101,0.356,140,224,0.625,0.597,80,96,0.833,91,185,276,60,67,32,30,132,468,0,
7.0,Lonzo Ball,24.0,35,35,1212,162,383,0.423,110,260,0.423,52,123,0.423,0.567,21,28,0.75,35,155,190,178,64,31,82,85,455,1,
8.0,Alex Caruso,27.0,41,18,1147,102,256,0.398,42,126,0.333,60,130,0.462,0.48,58,73,0.795,33,115,148,165,71,15,57,106,304,0,
9.0,Troy Brown Jr.,22.0,66,7,1055,108,258,0.419,47,133,0.353,61,125,0.488,0.51,20,26,0.769,39,164,203,66,36,5,26,62,283,0,
10.0,Derrick Jones Jr.,24.0,51,8,899,105,195,0.538,20,61,0.328,85,134,0.634,0.59,56,70,0.8,60,109,169,30,25,33,30,105,286,0,
11.0,Tony Bradley,24.0,55,7,549,72,123,0.585,0,0,,72,123,0.585,0.585,19,29,0.655,67,119,186,27,10,33,34,62,163,0,
12.0,Matt Thomas,27.0,40,0,459,55,134,0.41,35,91,0.385,20,43,0.465,0.541,16,20,0.8,3,47,50,20,8,3,8,18,161,0,
13.0,Patrick Williams,20.0,17,9,422,54,102,0.529,15,29,0.517,39,73,0.534,0.603,30,41,0.732,17,52,69,15,9,9,16,28,153,0,
14.0,Tristan Thompson,30.0,23,3,376,52,92,0.565,0,2,0.0,52,90,0.578,0.565,26,48,0.542,41,68,109,14,12,7,12,39,130,0,
15.0,Alfonzo McKinnie,29.0,17,3,206,24,61,0.393,9,27,0.333,15,34,0.441,0.467,2,8,0.25,13,20,33,5,2,3,7,26,59,0,
16.0,Tyler Cook,24.0,20,2,200,23,38,0.605,0,0,,23,38,0.605,0.605,21,32,0.656,16,37,53,3,4,4,7,28,67,0,
17.0,Malcolm Hill,26.0,16,0,166,19,44,0.432,10,31,0.323,9,13,0.692,0.545,7,10,0.7,9,20,29,7,3,2,3,17,55,0,
18.0,Alize Johnson,25.0,16,0,121,12,23,0.522,0,2,0.0,12,21,0.571,0.522,4,7,0.571,16,20,36,8,3,0,8,15,28,0,
19.0,Devon Dotson,22.0,11,0,85,11,23,0.478,2,9,0.222,9,14,0.643,0.522,5,9,0.556,1,8,9,15,1,0,5,11,29,0,
20.0,Marko Simonovic,22.0,9,0,35,4,15,0.267,1,5,0.2,3,10,0.3,0.3,8,11,0.727,5,5,10,0,1,1,2,6,17,0,
21.0,Mac McClung,23.0,1,0,3,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,1,0,2,0,
22.0,Jordan Bell,27.0,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,2,0,0,
,Team Totals,,82,82,19730,3422,7127,0.48,872,2364,0.369,2550,4763,0.535,0.541,1436,1766,0.813,711,2760,3471,1958,585,336,994,1540,9152,1,
