Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Mikal Bridges,28.0,SF,82,82,3036,0,2,83,16,0,5.6,5.9,79,42,51,6,52,11,745,14,24,
2.0,Josh Hart,29.0,SG,77,77,2897,0,66,31,3,0,3.6,-2.1,99,35,109,4,102,12,1095,28,59,
3.0,OG Anunoby,27.0,PF,74,74,2706,0,0,5,95,0,5.2,3.2,38,37,98,10,117,14,392,26,89,
4.0,Karl-Anthony Towns,29.0,C,72,72,2517,0,0,0,0,100,6.2,5.6,79,42,131,49,219,5,493,64,83,"AS,NBA3"
5.0,Jalen Brunson,28.0,PG,65,65,2301,100,0,0,0,0,2.1,-4.9,99,56,60,6,177,50,1097,46,50,"MVP-10,CPOY-1,AS,NBA2"
6.0,Miles McBride,24.0,SG,64,10,1593,19,81,0,0,0,7.5,5.6,22,11,50,2,25,14,466,4,33,
7.0,Precious Achiuwa,25.0,C,57,10,1170,0,0,0,49,51,-0.9,-7.2,15,16,53,10,36,2,129,9,24,
8.0,Cameron Payne,30.0,PG,72,5,1090,84,16,0,0,0,9.5,7.4,27,14,52,4,22,18,479,5,12,
9.0,Landry Shamet,27.0,SG,50,0,762,0,61,39,1,0,6.4,2.7,12,8,29,1,9,9,63,3,12,
10.0,Jericho Sims,26.0,C,39,5,422,0,0,0,10,90,4.0,-0.2,4,6,25,8,5,1,55,1,7,
11.0,Tyler Kolek,23.0,PG,41,0,296,100,0,0,0,0,0.4,-4.1,15,2,16,1,7,3,176,1,3,
12.0,Mitchell Robinson,26.0,C,17,3,290,0,0,0,16,84,7.1,3.2,4,1,19,2,6,0,32,1,1,
13.0,Delon Wright,32.0,PG,14,5,230,73,23,5,0,0,-1.3,-5.8,6,2,7,0,5,1,72,1,1,
14.0,Ariel Hukporti,22.0,C,25,1,217,0,0,0,8,92,-13.4,-18.6,12,5,24,4,6,0,27,1,2,
15.0,Pacome Dadiet,19.0,SG,18,0,111,0,20,49,31,0,-10.2,-14.8,2,2,3,0,3,1,11,2,1,
16.0,Matt Ryan,27.0,SF,19,0,68,0,15,57,28,0,-26.9,-31.6,2,1,1,0,0,1,7,0,2,
17.0,P.J. Tucker,39.0,SF,3,1,58,0,0,0,76,24,-18.8,-23.3,1,0,2,0,0,0,0,0,0,
18.0,Jacob Toppin,24.0,SF,16,0,49,0,0,33,67,0,-13.9,-18.3,1,0,2,1,0,0,10,0,1,
19.0,Kevin McCullar Jr.,23.0,SF,4,0,29,0,0,6,95,0,-3.3,-7.5,0,0,6,0,1,0,5,0,1,
20.0,Anton Watson,24.0,SF,9,0,22,0,0,0,42,58,-26.6,-31.0,1,0,1,1,0,0,5,0,1,
21.0,MarJon Beauchamp,24.0,SF,6,0,17,0,0,68,32,0,-23.3,-27.6,1,0,0,0,1,0,3,0,0,
,Team Totals,,,82,82,19881,20,20,20,20,20,4.2,1.1,519,280,739,109,793,142,5362,206,406,
