Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,James Harden,35.0,79,79,2789,531,1295,0.41,235,668,0.352,296,627,0.472,0.501,505,578,0.874,55,401,456,687,118,55,341,162,1802,3,"MVP-10,AS,NBA3"
2.0,Ivica Zubac,27.0,80,80,2624,592,942,0.628,0,0,,592,942,0.628,0.628,156,236,0.661,300,710,1010,214,55,90,127,168,1340,1,"DPOY-6,DEF2"
3.0,Norman Powell,31.0,60,60,1958,457,945,0.484,179,428,0.418,278,517,0.538,0.578,213,265,0.804,21,169,190,125,73,9,108,114,1306,0,
4.0,Derrick Jones Jr.,27.0,77,55,1873,310,589,0.526,78,219,0.356,232,370,0.627,0.593,83,118,0.703,93,170,263,60,79,33,66,153,781,0,
5.0,Kris Dunn,30.0,74,58,1783,192,437,0.439,75,224,0.335,117,213,0.549,0.525,15,22,0.682,53,198,251,210,128,27,74,197,474,0,
6.0,Amir Coffey,27.0,72,13,1748,240,510,0.471,101,247,0.409,139,263,0.529,0.57,115,129,0.891,32,129,161,77,40,7,45,120,696,0,
7.0,Nicolas Batum,36.0,78,8,1367,104,238,0.437,88,203,0.433,16,35,0.457,0.622,17,21,0.81,47,171,218,84,52,36,34,111,313,0,
8.0,Kawhi Leonard,33.0,37,37,1180,310,623,0.498,78,190,0.411,232,433,0.536,0.56,98,121,0.81,35,184,219,116,59,17,72,56,796,0,
9.0,Kevin Porter Jr.,24.0,45,2,884,172,407,0.423,26,106,0.245,146,301,0.485,0.455,49,76,0.645,29,131,160,144,43,11,84,70,419,0,
10.0,Bogdan Bogdanović,32.0,30,4,750,127,268,0.474,61,143,0.427,66,125,0.528,0.588,28,32,0.875,12,81,93,97,21,5,37,70,343,0,
11.0,Terance Mann,28.0,37,12,732,87,195,0.446,26,75,0.347,61,120,0.508,0.513,23,32,0.719,32,75,107,59,28,11,25,68,223,0,
12.0,Jordan Miller,25.0,37,0,420,58,134,0.433,8,38,0.211,50,96,0.521,0.463,28,35,0.8,23,35,58,34,17,5,26,26,152,0,
13.0,Mo Bamba,26.0,28,2,352,48,103,0.466,15,50,0.3,33,53,0.623,0.539,17,25,0.68,26,94,120,16,9,28,19,49,128,0,
14.0,Ben Simmons,28.0,18,0,295,23,53,0.434,0,0,,23,53,0.434,0.434,6,7,0.857,17,52,69,56,12,7,14,26,52,0,
15.0,Kobe Brown,25.0,40,0,272,33,72,0.458,6,26,0.231,27,46,0.587,0.5,5,7,0.714,19,46,65,24,7,4,12,23,77,0,
16.0,Bones Hyland,24.0,20,0,222,45,115,0.391,31,80,0.388,14,35,0.4,0.526,23,26,0.885,5,19,24,28,18,4,24,26,144,0,
17.0,Kai Jones,24.0,28,0,208,26,36,0.722,0,2,0.0,26,34,0.765,0.722,9,12,0.75,15,31,46,10,6,13,10,23,61,0,
18.0,Drew Eubanks,27.0,24,0,178,27,49,0.551,0,1,0.0,27,48,0.563,0.551,11,14,0.786,20,38,58,9,2,7,10,17,65,0,
19.0,Patty Mills,36.0,12,0,61,10,20,0.5,9,18,0.5,1,2,0.5,0.725,8,9,0.889,1,0,1,5,1,0,1,12,37,0,
20.0,Cam Christie,19.0,13,0,59,7,24,0.292,2,13,0.154,5,11,0.455,0.333,2,4,0.5,3,9,12,6,5,1,2,4,18,0,
21.0,Trentyn Flowers,19.0,6,0,27,4,11,0.364,0,2,0.0,4,9,0.444,0.364,3,3,1.0,1,3,4,0,0,0,1,4,11,0,
22.0,MarJon Beauchamp,24.0,3,0,17,4,7,0.571,2,3,0.667,2,4,0.5,0.714,2,4,0.5,2,1,3,2,0,0,1,2,12,0,
23.0,Patrick Baldwin Jr.,22.0,2,0,6,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,3,3,1,0,0,0,2,6,0,
,Team Totals,,82,82,19805,3409,7075,0.482,1022,2738,0.373,2387,4337,0.55,0.554,1416,1776,0.797,841,2750,3591,2064,773,370,1133,1503,9256,4,
