Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Shai Gilgeous-Alexander,24.0,68,68,2416,704,1381,0.51,58,168,0.345,646,1213,0.533,0.531,669,739,0.905,59,270,329,371,112,65,192,192,2135,0,"MVP-5,CPOY-7,AS,NBA1"
2.0,Josh Giddey,20.0,76,76,2367,539,1118,0.482,76,234,0.325,463,884,0.524,0.516,106,145,0.731,148,451,599,469,57,31,211,143,1260,4,
3.0,Jalen Williams,21.0,75,62,2276,414,794,0.521,73,205,0.356,341,589,0.579,0.567,155,191,0.812,84,253,337,248,103,35,123,191,1056,0,ROY-2
4.0,Luguentz Dort,23.0,74,73,2272,339,873,0.388,135,409,0.33,204,464,0.44,0.466,200,259,0.772,128,216,344,154,75,23,92,243,1013,0,
5.0,Isaiah Joe,23.0,73,10,1395,224,508,0.441,161,394,0.409,63,114,0.553,0.599,82,100,0.82,27,148,175,88,48,8,39,105,691,0,
6.0,Aaron Wiggins,24.0,70,14,1297,186,363,0.512,48,122,0.393,138,241,0.573,0.579,59,71,0.831,68,142,210,80,39,15,55,110,479,0,
7.0,Kenrich Williams,28.0,53,10,1206,179,346,0.517,50,134,0.373,129,212,0.608,0.59,17,39,0.436,97,164,261,105,45,14,32,112,425,0,
8.0,Tre Mann,21.0,67,5,1183,197,501,0.393,81,257,0.315,116,244,0.475,0.474,42,55,0.764,27,128,155,120,40,11,62,99,517,1,
9.0,Jaylin Williams,20.0,49,36,914,102,234,0.436,46,113,0.407,56,121,0.463,0.534,38,54,0.704,44,197,241,76,28,12,37,111,288,0,
10.0,Jeremiah Robinson-Earl,22.0,43,20,814,110,248,0.444,37,111,0.333,73,137,0.533,0.518,35,42,0.833,71,109,180,43,24,11,19,71,292,0,
11.0,Aleksej Pokusevski,21.0,34,25,701,108,249,0.434,38,104,0.365,70,145,0.483,0.51,22,35,0.629,45,114,159,64,20,43,43,58,276,0,
12.0,Mike Muscala,31.0,43,5,622,89,203,0.438,56,142,0.394,33,61,0.541,0.576,31,39,0.795,23,112,135,38,11,19,14,70,265,0,
13.0,Ousmane Dieng,19.0,39,1,569,76,181,0.42,26,98,0.265,50,83,0.602,0.492,15,23,0.652,19,86,105,46,14,7,26,42,193,0,
14.0,Darius Bazley,22.0,36,1,555,71,158,0.449,18,45,0.4,53,113,0.469,0.506,36,65,0.554,29,93,122,32,19,29,22,35,196,0,
15.0,Lindy Waters III,25.0,41,0,531,70,178,0.393,58,162,0.358,12,16,0.75,0.556,16,20,0.8,16,59,75,28,14,11,10,42,214,0,
16.0,Dario Šarić,28.0,20,0,273,51,99,0.515,18,46,0.391,33,53,0.623,0.606,27,32,0.844,14,51,65,17,7,2,19,30,147,0,
17.0,Eugene Omoruyi,25.0,23,2,272,44,94,0.468,8,31,0.258,36,63,0.571,0.511,17,28,0.607,22,30,52,11,14,0,16,46,113,0,
18.0,Olivier Sarr,23.0,9,1,114,15,30,0.5,1,8,0.125,14,22,0.636,0.517,5,7,0.714,12,19,31,4,1,5,4,17,36,0,
19.0,Jared Butler,22.0,6,1,77,15,32,0.469,7,14,0.5,8,18,0.444,0.578,0,0,,1,3,4,8,5,0,5,5,37,0,
,Team Totals,,82,82,19854,3533,7590,0.465,995,2797,0.356,2538,4793,0.53,0.531,1572,1944,0.809,934,2645,3579,2002,676,341,1021,1722,9633,5,
