Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Jerami Grant,28.0,63,63,2246,434,913,0.475,144,359,0.401,290,554,0.523,0.554,278,342,0.813,53,230,283,150,51,53,116,152,1290,0,
2.0,Anfernee Simons,23.0,62,62,2171,467,1045,0.447,212,562,0.377,255,483,0.528,0.548,160,179,0.894,18,143,161,253,42,14,128,142,1306,0,
3.0,Damian Lillard,32.0,58,58,2107,556,1202,0.463,244,658,0.371,312,544,0.574,0.564,510,558,0.914,44,233,277,425,50,18,191,109,1866,2,"CPOY-10,AS,NBA3"
4.0,Shaedon Sharpe,19.0,80,15,1779,306,648,0.472,102,283,0.36,204,365,0.559,0.551,75,105,0.714,63,173,236,94,38,24,83,136,789,0,
5.0,Josh Hart,27.0,51,51,1704,183,363,0.504,34,112,0.304,149,251,0.594,0.551,87,119,0.731,95,322,417,200,54,9,79,133,487,0,
6.0,Drew Eubanks,25.0,78,28,1584,214,334,0.641,7,18,0.389,207,316,0.655,0.651,83,125,0.664,132,286,418,103,40,102,67,169,518,0,
7.0,Jusuf Nurkić,28.0,52,52,1391,262,505,0.519,43,119,0.361,219,386,0.567,0.561,127,192,0.661,114,357,471,149,43,44,119,185,694,0,
8.0,Trendon Watford,22.0,62,12,1182,181,323,0.56,25,64,0.391,156,259,0.602,0.599,72,100,0.72,42,196,238,130,32,12,71,118,459,0,
9.0,Nassir Little,22.0,54,4,976,134,303,0.442,58,158,0.367,76,145,0.524,0.538,33,46,0.717,27,114,141,50,20,20,36,66,359,0,
10.0,Justise Winslow,26.0,29,11,776,81,198,0.409,14,45,0.311,67,153,0.438,0.444,20,28,0.714,49,96,145,98,30,11,43,89,196,0,
11.0,Jabari Walker,20.0,56,0,619,83,198,0.419,16,56,0.286,67,142,0.472,0.46,34,45,0.756,48,83,131,34,10,13,29,69,216,0,
12.0,Matisse Thybulle,25.0,22,22,609,60,137,0.438,33,85,0.388,27,52,0.519,0.558,10,16,0.625,20,57,77,30,38,18,16,48,163,0,
13.0,Cam Reddish,23.0,20,12,552,78,176,0.443,28,88,0.318,50,88,0.568,0.523,35,42,0.833,11,46,57,37,24,6,32,40,219,0,
14.0,Keon Johnson,20.0,40,0,416,67,178,0.376,28,81,0.346,39,97,0.402,0.455,27,41,0.659,11,33,44,59,19,6,43,43,189,0,
15.0,Kevin Knox,23.0,21,4,359,68,153,0.444,22,70,0.314,46,83,0.554,0.516,20,27,0.741,14,55,69,18,10,0,18,21,178,0,
16.0,Gary Payton II,30.0,15,1,255,24,41,0.585,9,17,0.529,15,24,0.625,0.695,4,4,1.0,10,29,39,22,16,1,12,29,61,0,
17.0,John Butler,20.0,19,1,221,17,53,0.321,8,35,0.229,9,18,0.5,0.396,3,4,0.75,3,14,17,11,7,9,1,22,45,0,
18.0,Skylar Mays,25.0,6,6,189,34,68,0.5,12,26,0.462,22,42,0.524,0.588,12,13,0.923,2,17,19,50,6,1,10,11,92,0,
19.0,Ryan Arcidiacono,28.0,9,4,146,8,32,0.25,7,20,0.35,1,12,0.083,0.359,0,0,,0,11,11,21,3,0,6,14,23,0,
20.0,Jeenathan Williams,23.0,5,4,127,24,39,0.615,3,8,0.375,21,31,0.677,0.654,2,3,0.667,10,5,15,10,3,2,4,13,53,0,
21.0,Shaquille Harrison,29.0,5,0,120,15,36,0.417,3,10,0.3,12,26,0.462,0.458,11,15,0.733,1,21,22,30,11,2,6,12,44,0,
22.0,Greg Brown III,21.0,16,0,93,11,28,0.393,1,7,0.143,10,21,0.476,0.411,5,12,0.417,2,17,19,3,4,5,6,13,28,0,
23.0,Justin Minaya,23.0,4,0,89,7,23,0.304,3,12,0.25,4,11,0.364,0.37,0,1,0.0,3,12,15,4,2,5,4,9,17,0,
24.0,Chance Comanche,26.0,1,0,21,3,5,0.6,0,0,,3,5,0.6,0.6,1,4,0.25,2,1,3,0,0,1,0,0,7,0,
,Team Totals,,82,82,19732,3317,7001,0.474,1056,2893,0.365,2261,4108,0.55,0.549,1609,2021,0.796,774,2551,3325,1981,553,376,1120,1643,9299,2,
