game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm
2024-01-11,202401110MIL,BOS,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/202401110MIL.html,20:56,.333,.333,.333,.000,4.8,6.2,5.4,33.8,2.4,4.6,10.0,20.8,79,137,-4.3
2024-01-11,202401110MIL,BOS,Jrue Holiday,https://www.basketball-reference.com/boxscores/202401110MIL.html,18:35,.304,.222,.444,.222,5.4,20.9,12.2,17.9,0.0,0.0,9.2,25.5,69,142,-13.9
2024-01-11,202401110MIL,BOS,Jaylen Brown,https://www.basketball-reference.com/boxscores/202401110MIL.html,18:19,.357,.357,.071,.000,5.5,21.2,12.3,37.6,0.0,0.0,0.0,33.3,82,142,-7.0
2024-01-11,202401110MIL,BOS,Derrick White,https://www.basketball-reference.com/boxscores/202401110MIL.html,17:30,.250,.250,.250,.000,0.0,7.4,3.2,0.0,0.0,0.0,0.0,10.0,50,145,-15.8
2024-01-11,202401110MIL,BOS,Jayson Tatum,https://www.basketball-reference.com/boxscores/202401110MIL.html,15:45,.451,.333,.167,.667,0.0,8.2,3.6,32.8,0.0,0.0,11.4,24.2,93,145,-7.3
2024-01-11,202401110MIL,BOS,Payton Pritchard,https://www.basketball-reference.com/boxscores/202401110MIL.html,30:35,.653,.538,.692,.538,0.0,17.0,7.4,25.5,0.0,3.1,5.9,24.3,128,141,5.2
2024-01-11,202401110MIL,BOS,Sam Hauser,https://www.basketball-reference.com/boxscores/202401110MIL.html,23:36,.805,.750,1.000,.375,4.2,16.5,9.6,0.0,2.1,0.0,9.7,19.0,135,138,6.2
2024-01-11,202401110MIL,BOS,Lamar Stevens,https://www.basketball-reference.com/boxscores/202401110MIL.html,19:24,.322,.167,.000,.667,5.2,20.1,11.6,0.0,0.0,4.9,0.0,17.4,76,139,-12.2
2024-01-11,202401110MIL,BOS,Dalano Banton,https://www.basketball-reference.com/boxscores/202401110MIL.html,17:57,.340,.300,.400,.400,0.0,7.2,3.1,25.6,5.5,5.3,0.0,14.3,87,129,2.8
2024-01-11,202401110MIL,BOS,Oshae Brissett,https://www.basketball-reference.com/boxscores/202401110MIL.html,17:27,.611,.500,.375,.750,0.0,14.9,6.5,12.0,0.0,0.0,0.0,26.6,126,143,1.9
2024-01-11,202401110MIL,BOS,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202401110MIL.html,17:21,.765,.800,.600,.400,0.0,7.5,3.3,10.8,2.8,0.0,0.0,14.8,144,138,6.4
2024-01-11,202401110MIL,BOS,Neemias Queta,https://www.basketball-reference.com/boxscores/202401110MIL.html,12:39,.500,.500,.000,.000,7.9,20.5,13.4,0.0,0.0,7.6,20.0,17.2,83,137,-9.9
2024-01-11,202401110MIL,BOS,Luke Kornet,https://www.basketball-reference.com/boxscores/202401110MIL.html,9:56,,,,,0.0,0.0,0.0,14.2,0.0,0.0,,0.0,226,147,-9.3
