Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Luka Dončić,24.0,70,70,2624,804,1652,0.487,284,744,0.382,520,908,0.573,0.573,478,608,0.786,59,588,647,686,99,38,282,149,2370,21,"MVP-3,CPOY-6,AS,NBA1"
2.0,Tim Hardaway Jr.,31.0,79,12,2120,392,976,0.402,211,597,0.353,181,379,0.478,0.51,144,169,0.852,22,232,254,139,42,6,69,106,1139,0,6MOY-9
3.0,Kyrie Irving,31.0,58,58,2030,562,1131,0.497,173,421,0.411,389,710,0.548,0.573,190,210,0.905,44,246,290,299,74,28,106,112,1487,0,CPOY-7
4.0,Derrick Jones Jr.,26.0,76,66,1783,239,495,0.483,82,239,0.343,157,256,0.613,0.566,97,136,0.713,82,168,250,75,53,51,65,121,657,0,
5.0,Josh Green,23.0,57,33,1505,179,374,0.479,72,187,0.385,107,187,0.572,0.575,39,57,0.684,40,144,184,130,47,9,60,107,469,0,
6.0,Dereck Lively II,19.0,55,42,1294,221,296,0.747,0,2,0.0,221,294,0.752,0.747,41,81,0.506,135,243,378,60,36,77,50,144,483,0,ROY-6
7.0,Grant Williams,25.0,47,33,1242,131,317,0.413,79,210,0.376,52,107,0.486,0.538,41,55,0.745,46,123,169,81,24,27,53,137,382,0,
8.0,Dante Exum,28.0,55,17,1088,161,302,0.533,53,108,0.491,108,194,0.557,0.621,53,68,0.779,25,124,149,157,22,5,49,85,428,0,
9.0,Jaden Hardy,21.0,73,7,989,195,479,0.407,81,224,0.362,114,255,0.447,0.492,59,76,0.776,20,111,131,109,22,4,62,80,530,0,
10.0,P.J. Washington,25.0,29,28,935,127,302,0.421,53,169,0.314,74,133,0.556,0.508,32,51,0.627,32,147,179,44,34,27,30,57,339,0,
11.0,Maxi Kleber,32.0,43,7,871,63,146,0.432,32,92,0.348,31,54,0.574,0.541,33,47,0.702,30,113,143,68,17,30,28,79,191,0,
12.0,Dwight Powell,32.0,63,9,836,72,106,0.679,1,3,0.333,71,103,0.689,0.684,63,89,0.708,97,117,214,84,26,20,32,113,208,0,
13.0,Daniel Gafford,25.0,29,21,623,145,186,0.78,0,0,,145,186,0.78,0.78,34,56,0.607,64,137,201,46,21,56,28,80,324,0,
14.0,Seth Curry,33.0,36,3,457,54,145,0.372,29,80,0.363,25,65,0.385,0.472,17,19,0.895,15,37,52,30,17,3,16,32,154,0,
15.0,Olivier-Maxence Prosper,21.0,40,1,336,40,104,0.385,13,45,0.289,27,59,0.458,0.447,28,41,0.683,25,54,79,22,7,4,8,20,121,0,
16.0,A.J. Lawson,23.0,42,0,311,54,121,0.446,13,50,0.26,41,71,0.577,0.5,15,23,0.652,14,36,50,20,10,3,14,22,136,0,
17.0,Richaun Holmes,30.0,23,2,237,33,59,0.559,0,0,,33,59,0.559,0.559,12,21,0.571,33,45,78,15,3,9,12,33,78,0,
18.0,Markieff Morris,34.0,26,1,216,23,68,0.338,15,42,0.357,8,26,0.308,0.449,5,6,0.833,4,35,39,16,5,3,12,12,66,0,
19.0,Brandon Williams,24.0,17,0,113,20,54,0.37,3,15,0.2,17,39,0.436,0.398,11,17,0.647,4,9,13,17,1,1,7,4,54,0,
20.0,Greg Brown III,22.0,6,0,40,5,11,0.455,1,3,0.333,4,8,0.5,0.5,4,9,0.444,3,6,9,4,0,4,4,5,15,0,
21.0,Dexter Dennis,24.0,4,0,30,10,19,0.526,1,8,0.125,9,11,0.818,0.553,1,3,0.333,1,8,9,4,0,1,3,1,22,0,
22.0,Alex Fudge,20.0,2,0,26,5,9,0.556,1,3,0.333,4,6,0.667,0.611,0,0,,2,1,3,0,3,0,1,1,11,0,
,Team Totals,,82,82,19706,3535,7352,0.481,1197,3242,0.369,2338,4110,0.569,0.562,1397,1842,0.758,797,2724,3521,2106,563,406,991,1500,9664,21,
