Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Saddiq Bey,22.0,82,82,2704,450,1136,0.396,211,610,0.346,239,526,0.454,0.489,210,254,0.827,107,334,441,233,73,16,96,128,1321,0,
2.0,Cade Cunningham,20.0,64,64,2088,429,1031,0.416,114,363,0.314,315,668,0.472,0.471,142,168,0.845,58,296,354,356,78,43,234,200,1114,2,ROY-3
3.0,Isaiah Stewart,20.0,71,71,1816,250,490,0.51,15,46,0.326,235,444,0.529,0.526,74,103,0.718,226,391,617,82,22,78,85,211,589,0,
4.0,Killian Hayes,20.0,66,40,1647,176,459,0.383,44,167,0.263,132,292,0.452,0.431,57,74,0.77,36,174,210,277,78,35,111,183,453,0,
5.0,Cory Joseph,30.0,65,39,1600,178,400,0.445,65,157,0.414,113,243,0.465,0.526,100,113,0.885,29,145,174,237,42,17,85,147,521,0,
6.0,Jerami Grant,27.0,47,47,1500,298,699,0.426,91,254,0.358,207,445,0.465,0.491,217,259,0.838,28,163,191,111,44,49,85,107,904,0,
7.0,Hamidou Diallo,23.0,58,29,1269,261,526,0.496,23,93,0.247,238,433,0.55,0.518,91,140,0.65,69,208,277,73,71,17,58,143,636,0,
8.0,Frank Jackson,23.0,53,7,1164,194,483,0.402,86,279,0.308,108,204,0.529,0.491,86,104,0.827,19,68,87,55,27,9,38,89,560,0,
9.0,Trey Lyles,26.0,51,3,990,175,384,0.456,44,146,0.301,131,238,0.55,0.513,138,176,0.784,60,184,244,58,22,26,54,91,532,0,
10.0,Kelly Olynyk,30.0,40,1,764,128,286,0.448,40,119,0.336,88,167,0.527,0.517,69,89,0.775,54,123,177,111,31,19,58,100,365,0,
11.0,Rodney McGruder,30.0,51,2,754,98,225,0.436,58,146,0.397,40,79,0.506,0.564,19,26,0.731,31,80,111,48,21,7,24,58,273,0,
12.0,Josh Jackson,24.0,39,3,707,103,251,0.41,30,113,0.265,73,138,0.529,0.47,40,56,0.714,17,106,123,49,21,18,38,71,276,0,
13.0,Saben Lee,22.0,37,0,604,69,177,0.39,14,60,0.233,55,117,0.47,0.429,56,71,0.789,18,69,87,107,36,12,36,44,208,0,
14.0,Marvin Bagley III,22.0,18,8,490,111,200,0.555,8,35,0.229,103,165,0.624,0.575,32,54,0.593,38,85,123,19,13,7,18,43,262,0,
15.0,Luka Garza,23.0,32,5,389,66,147,0.449,16,49,0.327,50,98,0.51,0.503,38,61,0.623,58,42,100,20,9,6,18,55,186,0,
16.0,Isaiah Livers,23.0,19,5,383,41,90,0.456,27,64,0.422,14,26,0.538,0.606,12,14,0.857,15,42,57,21,13,7,15,37,121,0,
17.0,Braxton Key,24.0,9,0,191,32,70,0.457,6,20,0.3,26,50,0.52,0.5,7,13,0.538,12,36,48,10,9,11,9,25,77,0,
18.0,Jamorko Pickett,24.0,13,0,176,18,50,0.36,13,39,0.333,5,11,0.455,0.49,1,2,0.5,6,26,32,7,0,7,5,12,50,0,
19.0,Cassius Stanley,22.0,9,1,155,19,46,0.413,4,17,0.235,15,29,0.517,0.457,10,10,1.0,5,14,19,4,5,2,6,17,52,0,
20.0,Derrick Walton,26.0,3,3,108,6,26,0.231,3,13,0.231,3,13,0.231,0.288,4,4,1.0,2,8,10,21,7,4,11,8,19,0,
21.0,Justin Robinson,24.0,5,0,91,9,28,0.321,8,21,0.381,1,7,0.143,0.464,2,6,0.333,2,5,7,9,1,1,5,8,28,0,
22.0,Carsen Edwards,23.0,4,0,79,9,30,0.3,4,16,0.25,5,14,0.357,0.367,1,1,1.0,2,4,6,14,2,0,5,4,23,0,
23.0,Micah Potter,23.0,3,0,31,5,11,0.455,0,2,0.0,5,9,0.556,0.455,2,2,1.0,4,5,9,0,1,1,1,4,12,0,
24.0,Cheick Diallo,25.0,3,0,31,3,8,0.375,0,0,,3,8,0.375,0.375,5,6,0.833,4,8,12,0,1,0,1,6,11,0,
25.0,Deividas Sirvydis,21.0,3,0,27,1,10,0.1,1,7,0.143,0,3,0.0,0.15,0,0,,0,6,6,1,3,1,0,4,3,0,
26.0,Trayvon Palmer,27.0,1,0,17,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,2,2,0,0,0,1,2,0,0,
27.0,Jaysean Paige,27.0,1,0,7,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,1,2,0,0,
,Team Totals,,82,82,19782,3129,7267,0.431,925,2838,0.326,2204,4429,0.498,0.494,1413,1806,0.782,900,2625,3525,1924,630,393,1098,1799,8596,2,
