Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Tyler Herro,25.0,SG,77,77,2725,38,59,2,0,0,1.3,2.4,99,76,41,6,141,3,1046,35,75,AS
2.0,Bam Adebayo,27.0,C,78,78,2674,0,0,0,20,80,0.2,-1.2,69,51,82,23,152,5,842,31,46,DPOY-10
3.0,Haywood Highsmith,28.0,SF,74,42,1818,0,1,49,50,0,2.2,2.9,23,14,80,4,18,8,273,5,15,
4.0,Duncan Robinson,30.0,SF,74,37,1785,1,30,59,10,0,0.6,0.1,50,19,81,6,18,12,409,3,29,
5.0,Terry Rozier,30.0,PG,64,23,1658,100,0,0,0,0,-3.8,-7.5,43,18,31,10,48,15,410,9,36,
6.0,Kel'el Ware,20.0,C,64,36,1422,0,0,0,0,100,2.1,2.3,28,12,87,10,34,3,143,7,17,ROY-6
7.0,Jaime Jaquez Jr.,23.0,SF,66,17,1368,2,32,56,9,0,-5.3,-9.0,43,38,51,6,72,1,411,17,60,
8.0,Nikola Jović,21.0,PF,46,10,1156,0,0,3,90,7,-1.3,-2.7,29,14,47,7,43,3,316,10,12,
9.0,Davion Mitchell,26.0,PG,30,15,947,94,7,0,0,0,3.3,3.5,33,14,29,2,22,22,389,5,10,
10.0,Alec Burks,33.0,SG,49,14,863,7,54,38,2,0,6.2,7.2,21,3,24,3,17,6,125,3,9,
11.0,Pelle Larsson,23.0,SG,55,8,782,8,59,32,1,0,3.1,3.1,16,4,50,0,27,9,164,7,11,
12.0,Jimmy Butler,35.0,PF,25,25,766,0,0,26,75,0,3.1,3.1,22,4,12,2,71,4,316,15,22,
13.0,Andrew Wiggins,29.0,SF,17,17,546,1,29,65,5,0,-3.8,-5.1,20,16,18,2,36,2,137,8,14,
14.0,Kyle Anderson,31.0,SF,25,1,461,0,0,1,80,20,4.9,4.8,14,1,21,1,19,2,159,2,10,
15.0,Dru Smith,27.0,SG,14,1,268,53,47,0,0,0,6.9,6.8,8,7,17,1,2,5,58,0,2,
16.0,Kevin Love,36.0,PF,23,9,251,0,0,0,49,51,-3.4,-4.3,12,1,16,0,8,4,49,1,6,
17.0,Josh Richardson,31.0,SG,8,0,150,42,47,11,0,0,-10.5,-11.5,4,1,7,3,2,1,30,0,3,
18.0,Thomas Bryant,27.0,C,10,0,115,0,0,0,0,100,9.7,9.4,2,0,5,0,4,1,8,0,1,
19.0,Keshad Johnson,23.0,SF,16,0,98,0,0,20,74,6,4.5,4.1,2,2,9,0,4,0,9,1,3,
20.0,Josh Christopher,23.0,SG,14,0,69,30,67,3,0,0,1.2,0.6,4,1,0,0,1,0,18,0,1,
21.0,Isaiah Stevens,24.0,PG,3,0,6,100,0,0,0,0,39.4,38.9,0,0,0,0,0,0,0,0,0,
,Team Totals,,,82,82,19928,20,20,20,20,20,0.6,-0.1,542,296,708,86,739,106,5312,159,382,
