Rk,Unnamed: 1,Salary
1,Pascal Siakam,"$42,176,400"
2,Tyrese Haliburton,"$42,176,400"
3,Myles Turner,"$19,928,500"
4,Obi Toppin,"$12,975,000"
5,Aaron Nesmith,"$11,000,000"
6,T.J. McConnell,"$9,300,000"
7,Bennedict Mathurin,"$7,245,720"
8,Jarace Walker,"$6,362,520"
9,Isaiah Jackson,"$4,435,381"
10,Ben Sheppard,"$2,663,880"
11,Thomas Bryant,"$2,087,519"
12,James Johnson,"$2,087,519"
13,Andrew Nembhard,"$2,019,699"
14,Johnny Furphy,"$1,850,842"
15,Nik Stauskas,"$702,310"
16,Juwan Morgan,"$576,229"
17,Malik Fitts,"$555,216"
18,Tony Bradley,"$330,394"
19,Moses Brown,"$306,660"
20,Tony Bradley,"$150,179"
21,Jahlil Okafor,"$119,972"
22,Tony Bradley,"$119,972"
23,Quenton Jackson,
24,Enrique Freeman,
25,RayJ Dennis,
