Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Tyrese Maxey,21.0,75,74,2650,483,995,0.485,132,309,0.427,351,686,0.512,0.552,213,246,0.866,26,214,240,321,55,32,88,156,1311,0,
2.0,Tobias Harris,29.0,73,73,2543,493,1022,0.482,101,275,0.367,392,747,0.525,0.532,170,202,0.842,77,419,496,252,47,43,116,164,1257,1,
3.0,Joel Embiid,27.0,68,68,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,2,"MVP-2,AS,NBA2"
4.0,Georges Niang,28.0,76,7,1736,246,563,0.437,156,387,0.403,90,176,0.511,0.575,52,59,0.881,25,178,203,102,30,13,59,190,700,0,
5.0,Matisse Thybulle,24.0,66,50,1685,150,300,0.5,45,144,0.313,105,156,0.673,0.575,34,43,0.791,42,109,151,75,115,71,39,158,379,0,"DPOY-11,DEF2"
6.0,Seth Curry,31.0,45,45,1566,256,528,0.485,100,250,0.4,156,278,0.561,0.58,64,73,0.877,17,134,151,181,36,11,84,101,676,0,
7.0,Furkan Korkmaz,24.0,67,19,1414,182,470,0.387,77,266,0.289,105,204,0.515,0.469,68,84,0.81,22,153,175,127,33,9,48,58,509,0,
8.0,Danny Green,34.0,62,28,1353,126,320,0.394,103,271,0.38,23,49,0.469,0.555,11,14,0.786,32,125,157,64,60,37,45,105,366,0,
9.0,Shake Milton,25.0,55,6,1179,173,403,0.429,43,133,0.323,130,270,0.481,0.483,61,73,0.836,30,112,142,139,28,17,44,99,450,0,
10.0,Andre Drummond,28.0,49,12,902,128,238,0.538,0,2,0.0,128,236,0.542,0.538,42,82,0.512,136,297,433,97,56,45,79,121,298,0,
11.0,James Harden,32.0,21,21,792,115,286,0.402,46,141,0.326,69,145,0.476,0.483,166,186,0.892,13,136,149,220,26,5,72,48,442,2,AS
12.0,Isaiah Joe,22.0,55,1,609,62,177,0.35,45,135,0.333,17,42,0.405,0.477,29,31,0.935,6,50,56,35,14,3,19,47,198,0,
13.0,Paul Reed,22.0,38,2,302,54,96,0.563,2,8,0.25,52,88,0.591,0.573,6,14,0.429,44,48,92,16,33,14,10,57,116,0,
14.0,DeAndre Jordan,33.0,16,1,214,32,54,0.593,0,0,,32,54,0.593,0.593,10,14,0.714,32,60,92,8,2,9,16,21,74,0,
15.0,Charles Bassey,21.0,23,0,168,30,47,0.638,0,4,0.0,30,43,0.698,0.638,9,12,0.75,22,40,62,7,5,17,8,32,69,0,
16.0,Charlie Brown Jr.,24.0,19,2,162,9,34,0.265,1,9,0.111,8,25,0.32,0.279,9,10,0.9,14,17,31,5,8,3,5,16,28,0,
17.0,Paul Millsap,36.0,9,1,106,13,30,0.433,2,8,0.25,11,22,0.5,0.467,5,7,0.714,12,13,25,5,5,2,8,19,33,0,
18.0,Myles Powell,24.0,11,0,52,5,17,0.294,1,6,0.167,4,11,0.364,0.324,2,2,1.0,1,5,6,3,1,0,3,8,13,0,
19.0,Tyler Johnson,29.0,3,0,38,4,10,0.4,3,7,0.429,1,3,0.333,0.55,0,0,,1,5,6,2,1,1,1,4,11,0,
20.0,Aaron Henry,22.0,6,0,17,1,5,0.2,0,1,0.0,1,4,0.25,0.2,0,0,,0,1,1,0,0,2,2,2,2,0,
21.0,Braxton Key,24.0,2,0,6,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,1,1,2,1,1,0,2,1,2,0,
22.0,Jaden Springer,19.0,2,0,6,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,1,2,0,0,2,1,0,2,0,
23.0,Willie Cauley-Stein,28.0,2,0,6,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,0,2,0,0,
,Team Totals,,82,82,19803,3230,6932,0.466,950,2608,0.364,2280,4324,0.527,0.534,1605,1955,0.821,700,2770,3470,1945,633,435,963,1590,9015,5,
