Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Anthony Edwards,22,SG,79,78,2770,9.3,20.2,0.461,2.5,6.9,0.357,6.9,13.3,0.515,0.522,5.5,6.6,0.836,0.7,4.9,5.6,5.3,1.3,0.5,3.1,1.8,26.6,"MVP-7,CPOY-8,AS,NBA2"
2,Rudy Gobert,31,C,76,76,2593,5.6,8.5,0.661,0.0,0.0,0.0,5.6,8.5,0.664,0.661,3.5,5.4,0.638,4.0,9.7,13.6,1.4,0.7,2.2,1.6,3.3,14.7,"DPOY-1,DEF1"
3,Mike Conley,36,PG,76,76,2193,4.8,10.6,0.457,2.9,6.6,0.442,1.9,3.9,0.481,0.595,1.7,1.8,0.911,0.6,3.0,3.6,7.4,1.4,0.3,1.7,2.1,14.3,
4,Jaden McDaniels,23,SF,72,71,2105,5.3,10.7,0.489,1.5,4.4,0.337,3.8,6.4,0.592,0.557,1.0,1.4,0.722,1.0,2.9,3.8,1.7,1.1,0.7,1.5,3.7,12.9,DEF2
5,Karl-Anthony Towns,28,PF,62,62,2026,8.5,16.9,0.504,2.4,5.8,0.416,6.1,11.1,0.55,0.575,4.5,5.2,0.873,1.7,7.5,9.2,3.4,0.8,0.7,3.1,3.6,24.0,AS
6,Naz Reid,24,PF,81,14,1964,7.4,15.6,0.477,3.1,7.5,0.414,4.3,8.1,0.535,0.576,2.0,2.7,0.736,1.3,6.4,7.8,1.9,1.2,1.3,2.0,3.2,20.0,6MOY-1
7,Nickeil Alexander-Walker,25,SG,82,20,1921,4.4,10.1,0.439,2.5,6.3,0.391,2.0,3.8,0.517,0.56,1.0,1.2,0.8,0.7,2.5,3.1,3.8,1.2,0.8,1.4,2.7,12.3,
8,Kyle Anderson,30,PF,79,10,1782,4.0,8.7,0.46,0.2,1.0,0.229,3.8,7.8,0.488,0.472,2.0,2.8,0.708,1.2,4.3,5.5,6.7,1.4,0.9,1.8,2.6,10.2,
9,Jordan McLaughlin,27,PG,56,0,626,4.0,8.3,0.483,2.4,5.1,0.472,1.6,3.2,0.5,0.628,0.7,1.0,0.722,1.0,3.1,4.1,6.3,2.0,0.4,1.1,1.8,11.2,
10,Shake Milton,27,SG,38,0,491,4.7,11.7,0.4,1.0,3.9,0.264,3.7,7.8,0.467,0.444,2.6,3.2,0.818,0.5,3.2,3.7,3.7,1.2,0.4,2.1,3.2,13.1,
11,Troy Brown Jr.,24,SF,37,3,410,4.6,10.4,0.441,2.7,7.4,0.369,1.8,3.0,0.618,0.572,1.7,1.9,0.864,1.2,5.1,6.3,3.1,0.7,0.2,1.6,2.3,13.5,
12,Monte Morris,28,PG,27,0,408,4.4,10.6,0.417,2.2,5.2,0.424,2.2,5.4,0.41,0.521,1.1,1.5,0.706,0.4,3.5,4.0,5.4,1.6,0.7,0.4,1.1,12.1,
13,T.J. Warren,30,SF,11,0,125,5.2,11.8,0.439,0.6,3.7,0.154,4.6,8.1,0.571,0.463,0.9,1.2,0.75,1.4,4.9,6.3,2.6,1.2,0.3,1.2,3.2,11.8,
14,Luka Garza,25,C,25,0,122,10.6,22.1,0.48,2.7,9.4,0.281,8.0,12.7,0.628,0.54,5.3,7.4,0.72,5.6,3.5,9.1,1.2,1.2,0.3,1.8,7.1,29.2,
15,Josh Minott,21,SF,32,0,91,6.7,14.2,0.472,1.6,4.0,0.4,5.1,10.3,0.5,0.528,4.7,5.5,0.857,1.6,5.1,6.7,3.2,2.0,2.0,0.8,4.0,19.8,
16,Wendell Moore Jr.,22,SG,25,0,75,4.3,8.6,0.5,0.0,2.9,0.0,4.3,5.8,0.75,0.5,0.0,0.0,,0.0,5.8,5.8,2.9,2.4,0.5,1.9,2.4,8.6,
17,Leonard Miller,20,SF,17,0,52,9.0,13.8,0.65,1.4,3.5,0.4,7.6,10.4,0.733,0.7,0.7,1.4,0.5,3.5,10.4,13.8,5.5,1.4,0.7,0.7,3.5,20.1,
18,Daishen Nix,21,PG,15,0,50,6.5,17.3,0.375,4.3,12.2,0.353,2.2,5.0,0.429,0.5,2.2,4.3,0.5,0.7,1.4,2.2,4.3,3.6,0.0,3.6,1.4,19.4,
19,Justin Jackson,28,SF,2,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
