Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Anthony Davis,30.0,C,5,5,208,26.9,0.665,0.054,0.28,8.2,32.7,20.8,16.5,0.5,3.3,9.5,25.6,0.7,0.3,1.0,0.239,4.6,2.7,7.3,0.5,
2.0,LeBron James,39.0,PF,5,5,204,26.0,0.637,0.263,0.232,2.2,15.9,9.2,36.4,3.0,2.1,14.8,29.0,0.5,0.3,0.8,0.185,6.6,4.0,10.6,0.7,
3.0,D'Angelo Russell,27.0,PG,5,5,185,8.8,0.481,0.603,0.027,0.6,7.6,4.2,15.9,1.1,0.5,10.9,20.7,-0.2,0.1,-0.1,-0.028,-1.7,-1.6,-3.3,-0.1,
4.0,Austin Reaves,25.0,SG,5,5,174,18.0,0.589,0.413,0.302,3.3,8.7,6.1,14.9,2.0,1.5,5.3,20.0,0.4,0.2,0.5,0.144,2.2,1.6,3.8,0.3,
5.0,Rui Hachimura,25.0,PF,5,5,152,5.8,0.47,0.368,0.211,4.5,9.2,6.9,3.4,0.0,0.0,4.6,13.2,0.0,0.0,0.0,0.0,-3.3,-2.3,-5.6,-0.1,
6.0,Taurean Prince,29.0,PF,5,0,111,9.5,0.569,0.586,0.276,1.0,10.7,6.0,3.6,0.5,1.5,3.0,14.0,0.1,0.1,0.2,0.07,-2.0,0.6,-1.5,0.0,
7.0,Spencer Dinwiddie,30.0,PG,5,0,73,7.5,0.451,0.571,0.429,1.6,8.9,5.3,13.7,1.4,1.2,5.7,11.2,0.0,0.1,0.1,0.041,-3.3,1.7,-1.5,0.0,
8.0,Gabe Vincent,27.0,PG,5,0,69,-0.4,0.292,0.583,0.0,1.6,11.0,6.4,5.3,1.5,0.0,20.0,10.0,-0.2,0.1,-0.1,-0.085,-9.6,1.3,-8.3,-0.1,
9.0,Jaxson Hayes,23.0,C,4,0,24,0.0,0.174,0.0,1.0,14.2,40.5,27.7,4.8,0.0,0.0,41.0,9.4,-0.1,0.0,0.0,-0.05,-11.6,-0.7,-12.3,-0.1,
,Team Totals,,,5,5,1200,,0.573,0.348,0.222,,,,,,,,,1.2,1.1,2.3,0.093,0.4,1.1,1.5,1.1,
